MANUFACTURER,MODEL,ACTUAL_COST,MSRP,CATEGORY,SUBCATEGORY,DESCRIPTION
Bosch,SHX878WD5N,599,999,Dishwashers,Built-In,"24"" Built-In Dishwasher with Top Controls and Flexible Rack System"
Bosch,B36CL80ENS,2499,3999,Refrigerators,French Door,"36"" French Door Refrigerator with Bottom Freezer"
Bosch,HBL8451UC,1899,2999,Ovens,Wall Oven,"30"" Single Electric Wall Oven with European Convection"
KitchenAid,KDTE334GPS,749,1299,Dishwashers,Built-In,"24"" Built-In Dishwasher with ProWash Cycle"
KitchenAid,KRFC704FPS,3299,5499,Refrigerators,French Door,"36"" Counter-Depth French Door Refrigerator"
KitchenAid,KODE500ESS,2799,4499,Ovens,Double Wall Oven,"30"" Double Electric Wall Oven with Even-Heat Technology"
Miele,G7316SCUSS,1299,2199,Dishwashers,Built-In,"24"" Built-In Dishwasher with AutoDos Detergent Dispensing"
Miele,HR1924DF,8999,12999,Ranges,Dual Fuel,"48"" Dual Fuel Range with Griddle and Grill"
Miele,DA6698W,1699,2799,Hoods,Wall Mount,"36"" Wall Mount Chimney Hood with LED Lighting"
SubZero,BI36UFDIDSPH,8999,14999,Refrigerators,Built-In,"36"" Built-In French Door Refrigerator with Internal Dispenser"
SubZero,IC30CIDRH,3499,5999,Ice Makers,Built-In,"30"" Built-In Clear Ice Maker with Pump"
Wolf,DF304,3299,5499,Ranges,Dual Fuel,"30"" Dual Fuel Range with 4 Sealed Burners"
Wolf,ICBMDD30,2999,4999,Cooktops,Induction,"30"" Induction Cooktop Masterpiece Series with Bridge Element"
Thermador,DWHD870WPR,1499,2599,Dishwashers,Built-In,"24"" Built-In Dishwasher with Star Speed Cycle"
Thermador,T36BT920NS,3799,6299,Refrigerators,French Door,"36"" Built-In French Door Bottom Freezer"
Viking,RVDR33025BSS,5999,9999,Ranges,Dual Fuel,"30"" Professional Dual Fuel Range with 5 Sealed Burners"
Viking,VCSB5303SS,2499,4199,Refrigerators,Side-by-Side,"36"" Built-In Side-by-Side Refrigerator"
GE,GDT695SSJSS,649,1099,Dishwashers,Built-In,"24"" Built-In Dishwasher with Hidden Controls"
GE,GFE28GYNFS,1899,3199,Refrigerators,French Door,"36"" French Door Refrigerator with Hands-Free Autofill"
Samsung,DW80R9950UG,899,1499,Dishwashers,Built-In,"24"" Built-In Dishwasher with AutoRelease Door"
Samsung,RF23M8570SR,2199,3699,Refrigerators,French Door,"36"" French Door Refrigerator with Family Hub"
LG,LDT7808SS,799,1349,Dishwashers,Built-In,"24"" Built-In Dishwasher with QuadWash Technology"
LG,LRFVS3006S,2499,4199,Refrigerators,French Door,"36"" French Door Refrigerator with InstaView Door-in-Door"
Whirlpool,WDF520PADM,549,899,Dishwashers,Built-In,"24"" Built-In Dishwasher with Soil Sensor"
Whirlpool,WRF555SDFZ,1699,2799,Refrigerators,French Door,"36"" French Door Refrigerator with Water Dispenser"
