MANUFACTURER,MODEL,ACTUAL_COST,MSRP,CATEGORY,SUBCATEGORY,DESCRIPTION
Bosch,SHX878WD5N,599.00,999.00,Dishwashers,Built-In,24" Built-In Dishwasher with Top Controls
Bosch,B36CL80ENS,2499.00,3999.00,Refrigerators,French Door,36" French Door Refrigerator with Bottom Freezer
Bosch,HBL8451UC,1899.00,2999.00,Ovens,Wall Oven,30" Single Electric Wall Oven
Miele,G7316SCUSS,1299.00,2199.00,Dishwashers,Built-In,24" Built-In Dishwasher with AutoDos
Miele,HR1924DF,8999.00,12999.00,Ranges,Dual Fuel,48" Dual Fuel Range with Griddle
Miele,DA6698W,1699.00,2799.00,Hoods,Wall Mount,36" Wall Mount Chimney Hood
SubZero,BI36UFDIDSPH,8999.00,14999.00,Refrigerators,Built-In,36" Built-In French Door Refrigerator
SubZero,IC30CIDRH,3499.00,5999.00,Ice Makers,Built-In,30" Built-In Ice Maker with Pump
Wolf,DF304,3299.00,5499.00,Ranges,Dual Fuel,30" Dual Fuel Range 4 Burners
Wolf,ICBMDD30,2999.00,4999.00,Cooktops,Induction,30" Induction Cooktop Masterpiece Series
